[17:13:20.413] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6f; discarded 1 byte(s)
[17:13:20.414] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6d; discarded 1 byte(s)
[17:13:20.414] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6d; discarded 1 byte(s)
[17:13:20.414] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x61; discarded 1 byte(s)
[17:13:20.415] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6e; discarded 1 byte(s)
[17:13:20.415] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x64; discarded 1 byte(s)
[17:13:20.416] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x3a; discarded 1 byte(s)
[17:13:20.416] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x20; discarded 1 byte(s)
[17:13:20.417] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x75; discarded 1 byte(s)
[17:13:20.417] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6e; discarded 1 byte(s)
[17:13:20.417] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6b; discarded 1 byte(s)
[17:13:20.418] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6e; discarded 1 byte(s)
[17:13:20.418] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6f; discarded 1 byte(s)
[17:13:20.419] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x77; discarded 1 byte(s)
[17:13:20.419] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6e; discarded 1 byte(s)
[17:13:20.419] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x20; discarded 1 byte(s)
[17:13:20.420] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x63; discarded 1 byte(s)
[17:13:20.420] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6f; discarded 1 byte(s)
[17:13:20.421] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6d; discarded 1 byte(s)
[17:13:20.421] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6d; discarded 1 byte(s)
[17:13:20.421] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x61; discarded 1 byte(s)
[17:13:20.422] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x6e; discarded 1 byte(s)
[17:13:20.422] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x64; discarded 1 byte(s)
[17:13:20.423] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x3a; discarded 1 byte(s)
[17:13:20.423] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x20; discarded 1 byte(s)
[17:13:20.423] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x29; discarded 1 byte(s)
[17:13:20.424] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x20; discarded 1 byte(s)
[17:13:20.424] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x5e; discarded 1 byte(s)
[17:13:20.424] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x41; discarded 1 byte(s)
[17:13:20.425] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x5e; discarded 1 byte(s)
[17:13:20.425] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x4b; discarded 1 byte(s)
[17:13:20.426] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x5e; discarded 1 byte(s)
[17:13:20.426] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x40; discarded 1 byte(s)
