[02:39:06.561] BAD_PACKET[COM9] unknown packet ID 0x53; discarded 1 byte(s)
[02:39:06.561] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.561] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:39:06.562] BAD_PACKET[COM9] unknown packet ID 0x64; discarded 1 byte(s)
[02:39:06.562] BAD_PACKET[COM9] unknown packet ID 0x69; discarded 1 byte(s)
[02:39:06.562] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:39:06.562] BAD_PACKET[COM9] unknown packet ID 0x67; discarded 1 byte(s)
[02:39:06.563] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.563] BAD_PACKET[COM9] unknown packet ID 0x68; discarded 1 byte(s)
[02:39:06.563] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.564] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.564] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.564] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:39:06.564] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[02:39:06.565] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.566] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.566] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:39:06.567] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.567] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[02:39:06.567] BAD_PACKET[COM9] unknown packet ID 0x38; discarded 1 byte(s)
[02:39:06.568] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.568] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[02:39:06.568] BAD_PACKET[COM9] unknown packet ID 0x79; discarded 1 byte(s)
[02:39:06.569] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:39:06.569] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.569] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:39:06.570] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[02:39:06.570] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
[02:39:06.570] BAD_PACKET[COM9] unknown packet ID 0x0a; discarded 1 byte(s)
[02:39:06.570] RX[COM9]  49
[02:39:06.571] BAD_PACKET[COM9] unknown packet ID 0x49; discarded 1 byte(s)
[02:39:06.571] RX[COM9]  20 28 32 33 34 39 29 20 61 70 65 72 74 75 72 65 3a 20 48 65 61 72 74 62 65 61 74 20 73 65 6e 74 0d 0a
[02:39:06.571] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.572] BAD_PACKET[COM9] unknown packet ID 0x28; discarded 1 byte(s)
[02:39:06.572] BAD_PACKET[COM9] unknown packet ID 0x32; discarded 1 byte(s)
[02:39:06.572] BAD_PACKET[COM9] unknown packet ID 0x33; discarded 1 byte(s)
[02:39:06.573] BAD_PACKET[COM9] unknown packet ID 0x34; discarded 1 byte(s)
[02:39:06.573] BAD_PACKET[COM9] unknown packet ID 0x39; discarded 1 byte(s)
[02:39:06.573] BAD_PACKET[COM9] unknown packet ID 0x29; discarded 1 byte(s)
[02:39:06.573] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.574] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.574] BAD_PACKET[COM9] unknown packet ID 0x70; discarded 1 byte(s)
[02:39:06.574] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.575] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.575] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:39:06.575] BAD_PACKET[COM9] unknown packet ID 0x75; discarded 1 byte(s)
[02:39:06.575] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.576] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.576] BAD_PACKET[COM9] unknown packet ID 0x3a; discarded 1 byte(s)
[02:39:06.576] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.577] BAD_PACKET[COM9] unknown packet ID 0x48; discarded 1 byte(s)
[02:39:06.577] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.577] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.578] BAD_PACKET[COM9] unknown packet ID 0x72; discarded 1 byte(s)
[02:39:06.578] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:39:06.578] BAD_PACKET[COM9] unknown packet ID 0x62; discarded 1 byte(s)
[02:39:06.578] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.579] BAD_PACKET[COM9] unknown packet ID 0x61; discarded 1 byte(s)
[02:39:06.579] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:39:06.579] BAD_PACKET[COM9] unknown packet ID 0x20; discarded 1 byte(s)
[02:39:06.580] BAD_PACKET[COM9] unknown packet ID 0x73; discarded 1 byte(s)
[02:39:06.580] BAD_PACKET[COM9] unknown packet ID 0x65; discarded 1 byte(s)
[02:39:06.580] BAD_PACKET[COM9] unknown packet ID 0x6e; discarded 1 byte(s)
[02:39:06.581] BAD_PACKET[COM9] unknown packet ID 0x74; discarded 1 byte(s)
[02:39:06.581] BAD_PACKET[COM9] unknown packet ID 0x0d; discarded 1 byte(s)
