[13:46:07.586] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x28; discarded 1 byte(s)
[13:46:07.587] BAD_PACKET[TCP_prs2026hitl_7102] bad EOF for 0xff: expected 0x0a, got 0x01; resync=discard 1 byte
[13:46:07.587] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[13:46:07.588] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x30; discarded 1 byte(s)
[13:46:07.589] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.590] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.592] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.593] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.594] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x29; discarded 1 byte(s)
[13:46:07.595] BAD_PACKET[TCP_prs2026hitl_7102] bad EOF for 0xff: expected 0x0a, got 0x01; resync=discard 1 byte
[13:46:07.596] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[13:46:07.597] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x30; discarded 1 byte(s)
[13:46:07.599] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.600] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.601] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.602] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.604] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x2a; discarded 1 byte(s)
[13:46:07.605] BAD_PACKET[TCP_prs2026hitl_7102] bad EOF for 0xff: expected 0x0a, got 0x01; resync=discard 1 byte
[13:46:07.606] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[13:46:07.607] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x30; discarded 1 byte(s)
[13:46:07.608] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.609] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.610] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.611] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.612] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x2b; discarded 1 byte(s)
[13:46:07.613] BAD_PACKET[TCP_prs2026hitl_7102] bad EOF for 0xff: expected 0x0a, got 0x01; resync=discard 1 byte
[13:46:07.614] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[13:46:07.615] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x30; discarded 1 byte(s)
[13:46:07.616] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.617] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.618] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.619] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.621] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x2c; discarded 1 byte(s)
[13:46:07.622] BAD_PACKET[TCP_prs2026hitl_7102] bad EOF for 0xff: expected 0x0a, got 0x01; resync=discard 1 byte
[13:46:07.623] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x20; discarded 1 byte(s)
[13:46:07.627] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x30; discarded 1 byte(s)
[13:46:07.628] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x40; discarded 1 byte(s)
[13:46:07.629] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.630] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.631] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x00; discarded 1 byte(s)
[13:46:07.631] BAD_PACKET[TCP_prs2026hitl_7102] unknown packet ID 0x2d; discarded 1 byte(s)
