I (169) w25n01kv: initialized W25N01KV JEDEC EF AE 21, SR1=0x00 SR2=0x19
I (179) flash_logger: startup test block 1023 wrote/read:
I (17649) flash_logger: queued 100 prelaunch records (2000 ms) for flash
E (17679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (17779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (17879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (17979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (18079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (18199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (18299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (18349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (18479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (18579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (18679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (18779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (18879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (18979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (19079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (19199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (19299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (19349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (19479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (19579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (19679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (19779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (19879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (19979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (20079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
W (20169) uart2: could not forward 11 UART bytes: ESP_ERR_NO_MEM
E (20199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (20299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (20349) sensors: state packet queue failed: ESP_ERR_NO_MEM
W (20399) uart2: could not forward 13 UART bytes: ESP_ERR_NO_MEM
E (20479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
W (20509) uart2: could not forward 21 UART bytes: ESP_ERR_NO_MEM
W (20509) uart2: discarded UART packet 0x05 with invalid EOF
E (20579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (20679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
